family,model,effort,profile,score,grade,haiku_lines,haiku_syllables,path,json_valid,json_final,json_estimate,json_assumptions,json_uncertainty,json_units,json_haiku,json_pirate,numeric_answer,si_units,imperial_units,consistent_conversion,numeric_uncertainty,transparent_math,explicit_assumptions,multiple_assumptions,citations,source_locator,haiku_present,haiku_three_lines,haiku_575,pirate_present,pirate_style,linguistics,history,physics_math,humor_signal,organized,points_json_valid,points_json_final,points_json_estimate,points_json_assumptions,points_json_uncertainty,points_json_units,points_json_haiku,points_json_pirate,points_numeric_answer,points_si_units,points_imperial_units,points_consistent_conversion,points_numeric_uncertainty,points_transparent_math,points_explicit_assumptions,points_multiple_assumptions,points_citations,points_source_locator,points_haiku_present,points_haiku_three_lines,points_haiku_575,points_pirate_present,points_pirate_style,points_linguistics,points_history,points_physics_math,points_humor_signal,points_organized
anthropic,anthropic/claude-fable-5,high,primary,91,A,3,5/6/5,responses/anthropic/claude-fable-5/high.md,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,0,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,low,primary,94,A,3,5/6/5,responses/anthropic/claude-fable-5/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,max,primary,94,A,3,5/6/4,responses/anthropic/claude-fable-5/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,medium,primary,94,A,3,5/6/5,responses/anthropic/claude-fable-5/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-fable-5,xhigh,primary,94,A,3,5/6/5,responses/anthropic/claude-fable-5/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,high,primary,90,A,3,5/6/5,responses/anthropic/claude-opus-4.8/high.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,low,primary,93,A,3,5/7/5,responses/anthropic/claude-opus-4.8/low.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,4,0,5,4,6,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,max,primary,91,A,3,5/6/7,responses/anthropic/claude-opus-4.8/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,0,3,2,2,2,2,2,2
anthropic,anthropic/claude-opus-4.8,medium,primary,93,A,3,5/7/5,responses/anthropic/claude-opus-4.8/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,False,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,6,3,2,0,0,2,2,2
anthropic,anthropic/claude-opus-4.8,xhigh,primary,88,B,3,4/7/5,responses/anthropic/claude-opus-4.8/xhigh.md,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,0,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-sonnet-5,high,primary,94,A,3,5/7/6,responses/anthropic/claude-sonnet-5/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-sonnet-5,low,primary,90,A,3,5/7/6,responses/anthropic/claude-sonnet-5/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-sonnet-5,max,"recovered: 12,000 reasoning-token budget",94,A,3,5/6/6,responses/anthropic/claude-sonnet-5/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-sonnet-5,medium,primary,90,A,3,5/8/6,responses/anthropic/claude-sonnet-5/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
anthropic,anthropic/claude-sonnet-5,xhigh,primary,97,A,3,5/7/5,responses/anthropic/claude-sonnet-5/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,6,3,2,2,2,2,2,2
deepseek,deepseek/deepseek-v4-pro,high,primary,93,A,3,5/7/5,responses/deepseek/deepseek-v4-pro/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,2,2,2,2,2
deepseek,deepseek/deepseek-v4-pro,xhigh,primary,89,B,3,5/7/5,responses/deepseek/deepseek-v4-pro/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,0,0,2,2,2
google,google/gemini-3.1-flash-lite,high,primary,89,B,3,5/7/5,responses/google/gemini-3.1-flash-lite/high.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,2,2,2,2,2
google,google/gemini-3.1-flash-lite,low,primary,87,B,3,5/7/5,responses/google/gemini-3.1-flash-lite/low.md,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,12,6,2,0,2,2,0,0,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,2,2,2,2,2
google,google/gemini-3.1-flash-lite,medium,primary,91,A,3,5/7/5,responses/google/gemini-3.1-flash-lite/medium.md,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,0,2,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,2,2,2,2,2
google,google/gemini-3.1-flash-lite,minimal,primary,85,B,3,5/7/5,responses/google/gemini-3.1-flash-lite/minimal.md,True,True,True,False,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,False,False,True,True,True,12,6,2,0,2,2,0,2,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,0,0,2,2,2
google,google/gemini-3.1-pro-preview,high,primary,90,A,3,5/6/4,responses/google/gemini-3.1-pro-preview/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
google,google/gemini-3.1-pro-preview,low,primary,89,B,3,5/7/5,responses/google/gemini-3.1-pro-preview/low.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,2,2,2,2,2
google,google/gemini-3.1-pro-preview,medium,primary,88,B,3,5/6/5,responses/google/gemini-3.1-pro-preview/medium.md,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,0,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
google,google/gemini-3.5-flash,high,primary,90,A,3,5/6/5,responses/google/gemini-3.5-flash/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
google,google/gemini-3.5-flash,low,primary,90,A,3,5/6/5,responses/google/gemini-3.5-flash/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
google,google/gemini-3.5-flash,medium,primary,94,A,3,5/6/5,responses/google/gemini-3.5-flash/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
google,google/gemini-3.5-flash,minimal,primary,88,B,3,6/6/5,responses/google/gemini-3.5-flash/minimal.md,True,True,True,False,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,0,2,2,0,0,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
minimax,minimax/minimax-m3,default,primary,90,A,3,5/6/4,responses/minimax/minimax-m3/default.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
moonshotai,moonshotai/kimi-k2.6,default,primary,90,A,3,5/7/4,responses/moonshotai/kimi-k2.6/default.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-luna-pro,high,primary,88,B,3,5/6/5,responses/openai/gpt-5.6-luna-pro/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-luna-pro,low,primary,90,A,3,6/7/5,responses/openai/gpt-5.6-luna-pro/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-luna-pro,max,primary,94,A,3,6/7/5,responses/openai/gpt-5.6-luna-pro/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-luna-pro,medium,primary,93,A,3,5/7/4,responses/openai/gpt-5.6-luna-pro/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,0,2,2,0,2
openai,openai/gpt-5.6-luna-pro,none,primary,97,A,3,5/7/5,responses/openai/gpt-5.6-luna-pro/none.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,6,3,2,2,2,2,2,2
openai,openai/gpt-5.6-luna-pro,xhigh,primary,100,A,3,5/7/5,responses/openai/gpt-5.6-luna-pro/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,6,3,2,2,2,2,2,2
openai,openai/gpt-5.6-luna,high,primary,92,A,3,5/7/4,responses/openai/gpt-5.6-luna/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-luna,low,primary,97,A,3,5/7/5,responses/openai/gpt-5.6-luna/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,6,3,2,2,2,2,2,2
openai,openai/gpt-5.6-luna,max,"recovered: 65,536 output-token ceiling",98,A,3,5/7/5,responses/openai/gpt-5.6-luna/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,6,3,2,2,2,2,0,2
openai,openai/gpt-5.6-luna,medium,primary,98,A,3,5/7/5,responses/openai/gpt-5.6-luna/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,6,3,2,0,2,2,2,2
openai,openai/gpt-5.6-luna,none,primary,89,B,3,5/7/5,responses/openai/gpt-5.6-luna/none.md,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,0,4,5,3,0,0,5,4,6,3,2,2,2,2,2,2
openai,openai/gpt-5.6-luna,xhigh,primary,94,A,3,5/6/5,responses/openai/gpt-5.6-luna/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-sol-pro,high,primary,100,A,3,5/7/5,responses/openai/gpt-5.6-sol-pro/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,6,3,2,2,2,2,2,2
openai,openai/gpt-5.6-sol-pro,low,primary,97,A,3,5/6/4,responses/openai/gpt-5.6-sol-pro/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-sol-pro,medium,primary,97,A,3,5/7/4,responses/openai/gpt-5.6-sol-pro/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-sol-pro,none,primary,90,A,3,5/6/6,responses/openai/gpt-5.6-sol-pro/none.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-sol-pro,xhigh,primary,95,A,3,5/6/5,responses/openai/gpt-5.6-sol-pro/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-sol,high,primary,91,A,3,5/7/5,responses/openai/gpt-5.6-sol/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,6,3,2,2,2,2,0,2
openai,openai/gpt-5.6-sol,low,primary,94,A,3,5/7/4,responses/openai/gpt-5.6-sol/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-sol,max,"recovered: 65,536 output-token ceiling",95,A,3,5/7/4,responses/openai/gpt-5.6-sol/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-sol,medium,primary,86,B,3,5/6/4,responses/openai/gpt-5.6-sol/medium.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-sol,none,primary,84,B,3,5/6/5,responses/openai/gpt-5.6-sol/none.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-sol,xhigh,primary,95,A,3,5/6/5,responses/openai/gpt-5.6-sol/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-terra-pro,high,primary,97,A,3,5/6/5,responses/openai/gpt-5.6-terra-pro/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-terra-pro,low,primary,93,A,3,5/7/4,responses/openai/gpt-5.6-terra-pro/low.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,0,2,2,0,2
openai,openai/gpt-5.6-terra-pro,max,primary,97,A,3,5/6/5,responses/openai/gpt-5.6-terra-pro/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-terra-pro,medium,primary,92,A,3,5/6/5,responses/openai/gpt-5.6-terra-pro/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-terra-pro,none,primary,80,B,3,4/7/4,responses/openai/gpt-5.6-terra-pro/none.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,False,False,True,False,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,0,0,2,0,2
openai,openai/gpt-5.6-terra-pro,xhigh,primary,97,A,3,5/7/4,responses/openai/gpt-5.6-terra-pro/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-terra,high,primary,95,A,3,5/7/4,responses/openai/gpt-5.6-terra/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-terra,low,primary,86,B,3,5/7/4,responses/openai/gpt-5.6-terra/low.md,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,False,True,12,6,2,0,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,0,2
openai,openai/gpt-5.6-terra,max,"recovered: 65,536 output-token ceiling",97,A,3,5/8/4,responses/openai/gpt-5.6-terra/max.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-terra,medium,primary,98,A,3,5/7/5,responses/openai/gpt-5.6-terra/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,6,3,2,0,2,2,2,2
openai,openai/gpt-5.6-terra,none,primary,94,A,3,5/7/4,responses/openai/gpt-5.6-terra/none.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
openai,openai/gpt-5.6-terra,xhigh,primary,97,A,3,5/6/5,responses/openai/gpt-5.6-terra/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,3,5,4,3,3,2,2,2,2,2,2
qwen,qwen/qwen3.7-max,default,primary,94,A,3,5/6/5,responses/qwen/qwen3.7-max/default.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
x-ai,x-ai/grok-4.5,high,primary,94,A,3,5/6/6,responses/x-ai/grok-4.5/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
x-ai,x-ai/grok-4.5,low,primary,90,A,3,5/6/5,responses/x-ai/grok-4.5/low.md,True,True,True,True,True,True,False,False,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,0,0,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
x-ai,x-ai/grok-4.5,medium,primary,94,A,3,5/6/6,responses/x-ai/grok-4.5/medium.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,4,0,5,4,3,3,2,2,2,2,2,2
z-ai,z-ai/glm-5.2,high,primary,90,A,3,4/7/4,responses/z-ai/glm-5.2/high.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
z-ai,z-ai/glm-5.2,xhigh,primary,90,A,3,4/7/5,responses/z-ai/glm-5.2/xhigh.md,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,True,True,False,True,True,True,True,True,True,True,12,6,2,2,2,2,2,2,3,4,4,6,4,4,5,3,0,0,5,4,3,3,2,2,2,2,2,2
